1506.570000,1.7660E-006,1506.570000,1.4050E-006,1506.570000,7.9050E-007,1506.570000,8.2860E-007,1506.570000,1.1460E-007,1506.570000,-1.4300E-007,1506.570000,4.6260E-007,1506.570000,-1.8610E-007,1506.570000,4.5290E-007,1506.570000,2.1640E-007
1506.585000,1.9160E-006,1506.585000,1.6140E-006,1506.585000,4.7110E-007,1506.585000,7.2810E-007,1506.585000,7.1030E-007,1506.585000,7.1130E-007,1506.585000,1.2370E-007,1506.585000,6.2540E-007,1506.585000,3.5370E-007,1506.585000,3.9700E-007
1506.600000,1.6420E-006,1506.600000,9.9070E-007,1506.600000,9.9960E-007,1506.600000,9.5070E-007,1506.600000,7.7040E-007,1506.600000,4.4980E-008,1506.600000,1.9430E-007,1506.600000,-2.5760E-008,1506.600000,1.2180E-007,1506.600000,4.2930E-007
1506.615000,2.2030E-006,1506.615000,2.0830E-006,1506.615000,6.8420E-007,1506.615000,6.8730E-007,1506.615000,5.2040E-007,1506.615000,5.7690E-007,1506.615000,2.4810E-007,1506.615000,4.6340E-007,1506.615000,3.7520E-007,1506.615000,-7.7310E-008
1506.630000,1.3980E-006,1506.630000,1.1440E-006,1506.630000,7.9890E-007,1506.630000,1.1020E-006,1506.630000,6.6490E-007,1506.630000,4.0770E-007,1506.630000,2.4040E-007,1506.630000,-7.0330E-008,1506.630000,1.9490E-007,1506.630000,3.6920E-007
1506.645000,2.1490E-006,1506.645000,1.4740E-006,1506.645000,6.5230E-007,1506.645000,2.5680E-007,1506.645000,3.5200E-007,1506.645000,3.8700E-007,1506.645000,4.4440E-007,1506.645000,2.5760E-007,1506.645000,-7.4990E-008,1506.645000,-6.1260E-008
1506.660000,2.1550E-006,1506.660000,1.6320E-006,1506.660000,5.3010E-007,1506.660000,1.0550E-006,1506.660000,4.1500E-007,1506.660000,1.5120E-007,1506.660000,5.1400E-007,1506.660000,-1.6200E-007,1506.660000,3.8160E-007,1506.660000,3.8390E-007
1506.675000,1.6310E-006,1506.675000,1.8920E-006,1506.675000,9.1220E-007,1506.675000,3.9200E-007,1506.675000,4.7900E-007,1506.675000,5.5270E-007,1506.675000,1.7440E-007,1506.675000,4.9570E-007,1506.675000,6.5130E-007,1506.675000,-1.3890E-007
1506.690000,1.7590E-006,1506.690000,1.7950E-006,1506.690000,6.4440E-007,1506.690000,8.2280E-007,1506.690000,7.3620E-007,1506.690000,5.7840E-007,1506.690000,5.6240E-007,1506.690000,-1.3280E-007,1506.690000,-1.1230E-007,1506.690000,5.3900E-007
1506.705000,1.6430E-006,1506.705000,1.7210E-006,1506.705000,8.1590E-007,1506.705000,1.0010E-006,1506.705000,4.5180E-008,1506.705000,4.0810E-007,1506.705000,3.7580E-007,1506.705000,4.6530E-007,1506.705000,2.7870E-007,1506.705000,1.6550E-007
1506.720000,1.7820E-006,1506.720000,1.5180E-006,1506.720000,1.0490E-006,1506.720000,8.0470E-007,1506.720000,1.1210E-006,1506.720000,3.3010E-007,1506.720000,-1.0600E-007,1506.720000,4.2430E-007,1506.720000,-9.2300E-008,1506.720000,3.0770E-007
1506.735000,1.7650E-006,1506.735000,1.6980E-006,1506.735000,7.4470E-007,1506.735000,3.4190E-007,1506.735000,-8.7020E-008,1506.735000,2.0770E-007,1506.735000,1.9890E-007,1506.735000,-3.0940E-007,1506.735000,2.2550E-007,1506.735000,2.5610E-007
1506.750000,1.8950E-006,1506.750000,1.6320E-006,1506.750000,3.0170E-007,1506.750000,1.2250E-006,1506.750000,7.9710E-007,1506.750000,6.5750E-007,1506.750000,1.8750E-007,1506.750000,5.5310E-007,1506.750000,2.3560E-007,1506.750000,-2.0060E-008
1506.765000,1.5120E-006,1506.765000,1.5650E-006,1506.765000,7.0040E-007,1506.765000,6.7430E-007,1506.765000,4.7030E-007,1506.765000,2.5590E-007,1506.765000,3.2100E-007,1506.765000,9.3770E-008,1506.765000,1.8220E-007,1506.765000,2.9440E-007
1506.780000,2.0220E-006,1506.780000,1.5450E-006,1506.780000,1.0740E-006,1506.780000,6.4440E-007,1506.780000,3.3750E-007,1506.780000,5.2370E-007,1506.780000,2.0810E-007,1506.780000,-8.9130E-008,1506.780000,1.5560E-007,1506.780000,-3.3520E-007
1506.795000,1.5270E-006,1506.795000,1.2550E-006,1506.795000,2.8800E-007,1506.795000,4.0710E-007,1506.795000,6.2480E-007,1506.795000,1.6240E-007,1506.795000,8.0890E-008,1506.795000,3.7580E-007,1506.795000,4.1500E-007,1506.795000,5.1850E-007
1506.810000,1.8170E-006,1506.810000,1.8630E-006,1506.810000,9.6750E-007,1506.810000,7.8530E-007,1506.810000,2.4660E-007,1506.810000,4.2060E-007,1506.810000,6.6930E-007,1506.810000,2.0340E-007,1506.810000,-7.6040E-009,1506.810000,1.4020E-007
1506.825000,1.8090E-006,1506.825000,1.5680E-006,1506.825000,9.0270E-007,1506.825000,7.3000E-007,1506.825000,5.8050E-007,1506.825000,3.9970E-007,1506.825000,-1.9010E-008,1506.825000,4.0010E-007,1506.825000,2.4760E-007,1506.825000,-6.2520E-008
1506.840000,1.8670E-006,1506.840000,1.6160E-006,1506.840000,6.8750E-007,1506.840000,6.0300E-007,1506.840000,9.3690E-007,1506.840000,1.7740E-008,1506.840000,3.8680E-007,1506.840000,1.6240E-007,1506.840000,1.8160E-007,1506.840000,-6.7590E-008
1506.855000,1.6280E-006,1506.855000,1.8550E-006,1506.855000,6.3950E-007,1506.855000,8.3210E-007,1506.855000,4.8810E-007,1506.855000,4.9760E-007,1506.855000,1.9300E-007,1506.855000,3.1720E-007,1506.855000,2.6320E-007,1506.855000,7.1590E-008
1506.870000,2.2240E-006,1506.870000,1.8290E-006,1506.870000,8.5730E-007,1506.870000,4.9450E-007,1506.870000,4.5490E-007,1506.870000,4.7670E-007,1506.870000,2.8800E-007,1506.870000,-1.1530E-007,1506.870000,3.8450E-007,1506.870000,3.7420E-007
1506.885000,1.6130E-006,1506.885000,1.8160E-006,1506.885000,7.6210E-007,1506.885000,8.9460E-007,1506.885000,1.0490E-006,1506.885000,1.2650E-007,1506.885000,1.9700E-007,1506.885000,1.0790E-007,1506.885000,1.6320E-007,1506.885000,1.9430E-007
1506.900000,1.8660E-006,1506.900000,1.5360E-006,1506.900000,6.2480E-007,1506.900000,5.9520E-007,1506.900000,3.8200E-007,1506.900000,4.5040E-007,1506.900000,2.6980E-007,1506.900000,1.8800E-007,1506.900000,-1.1190E-008,1506.900000,-5.3430E-008
1506.915000,1.8350E-006,1506.915000,1.7190E-006,1506.915000,8.9260E-007,1506.915000,1.1480E-006,1506.915000,7.7930E-007,1506.915000,3.5990E-007,1506.915000,4.1040E-007,1506.915000,7.2290E-007,1506.915000,2.6090E-007,1506.915000,7.5610E-008
1506.930000,2.1840E-006,1506.930000,1.7310E-006,1506.930000,7.2150E-007,1506.930000,6.6200E-007,1506.930000,5.7400E-007,1506.930000,4.5680E-007,1506.930000,4.8290E-007,1506.930000,-5.3220E-008,1506.930000,2.8040E-007,1506.930000,3.4660E-007
1506.945000,1.6500E-006,1506.945000,1.9560E-006,1506.945000,7.6950E-007,1506.945000,7.9050E-007,1506.945000,8.2630E-007,1506.945000,5.8020E-007,1506.945000,-5.4920E-009,1506.945000,4.5000E-007,1506.945000,-3.1250E-008,1506.945000,-1.9010E-009
1506.960000,2.1040E-006,1506.960000,1.7590E-006,1506.960000,7.5130E-007,1506.960000,5.8150E-007,1506.960000,5.1580E-007,1506.960000,2.1510E-007,1506.960000,1.9050E-007,1506.960000,5.5410E-007,1506.960000,1.9660E-007,1506.960000,1.2580E-007
1506.975000,1.8160E-006,1506.975000,1.2580E-006,1506.975000,7.4300E-007,1506.975000,6.7510E-007,1506.975000,6.6370E-007,1506.975000,4.5140E-007,1506.975000,6.0900E-007,1506.975000,3.9630E-007,1506.975000,2.3670E-007,1506.975000,2.4700E-008
1506.990000,2.0510E-006,1506.990000,2.1510E-006,1506.990000,6.9810E-007,1506.990000,3.9030E-007,1506.990000,8.7020E-007,1506.990000,6.9390E-007,1506.990000,3.2590E-007,1506.990000,2.7870E-008,1506.990000,9.0830E-008,1506.990000,1.3170E-007
1507.005000,2.0080E-006,1507.005000,1.4950E-006,1507.005000,5.7870E-007,1507.005000,9.0440E-007,1507.005000,2.1530E-007,1507.005000,3.5530E-007,1507.005000,1.0670E-007,1507.005000,6.1690E-007,1507.005000,8.8370E-008,1507.005000,2.0730E-007
1507.020000,1.6400E-006,1507.020000,1.9430E-006,1507.020000,9.3760E-007,1507.020000,7.6340E-007,1507.020000,8.1090E-007,1507.020000,4.8730E-007,1507.020000,4.9850E-007,1507.020000,2.1430E-007,1507.020000,2.7810E-007,1507.020000,2.1550E-007
1507.035000,2.4910E-006,1507.035000,1.4590E-006,1507.035000,9.8090E-007,1507.035000,5.8160E-007,1507.035000,6.3530E-007,1507.035000,2.4150E-007,1507.035000,-5.0740E-009,1507.035000,6.5750E-008,1507.035000,3.0700E-007,1507.035000,-5.0740E-009
1507.050000,1.6860E-006,1507.050000,1.6420E-006,1507.050000,6.1480E-007,1507.050000,7.3690E-007,1507.050000,5.5430E-007,1507.050000,2.3070E-007,1507.050000,4.6680E-007,1507.050000,1.5680E-007,1507.050000,2.9310E-007,1507.050000,8.4990E-008
1507.065000,2.0460E-006,1507.065000,1.8330E-006,1507.065000,7.2010E-007,1507.065000,8.7500E-007,1507.065000,1.6870E-007,1507.065000,5.1030E-007,1507.065000,2.0590E-007,1507.065000,2.8910E-007,1507.065000,2.5430E-007,1507.065000,9.1330E-008
1507.080000,1.9820E-006,1507.080000,1.8860E-006,1507.080000,7.5120E-007,1507.080000,6.0380E-007,1507.080000,8.5920E-007,1507.080000,5.5320E-007,1507.080000,5.1570E-007,1507.080000,4.9600E-007,1507.080000,3.5900E-007,1507.080000,-4.3340E-008
1507.095000,1.8530E-006,1507.095000,1.4620E-006,1507.095000,8.9440E-007,1507.095000,6.1980E-007,1507.095000,4.6890E-007,1507.095000,1.8140E-007,1507.095000,2.4950E-007,1507.095000,6.8280E-008,1507.095000,-1.0740E-007,1507.095000,2.2610E-007
1507.110000,1.9130E-006,1507.110000,1.5220E-006,1507.110000,8.0950E-007,1507.110000,1.0920E-006,1507.110000,8.8430E-007,1507.110000,3.1710E-007,1507.110000,-2.5580E-008,1507.110000,4.1120E-007,1507.110000,5.7670E-007,1507.110000,2.6200E-007
1507.125000,1.6070E-006,1507.125000,1.5520E-006,1507.125000,7.2380E-007,1507.125000,5.5800E-007,1507.125000,7.5850E-007,1507.125000,5.0490E-007,1507.125000,6.3820E-007,1507.125000,2.3360E-007,1507.125000,-1.0570E-008,1507.125000,-1.4650E-007
1507.140000,2.3440E-006,1507.140000,2.0050E-006,1507.140000,8.8800E-007,1507.140000,1.1200E-006,1507.140000,8.0740E-007,1507.140000,3.6130E-007,1507.140000,-3.1070E-008,1507.140000,2.5970E-007,1507.140000,4.0560E-007,1507.140000,2.1260E-007
1507.155000,1.6680E-006,1507.155000,1.7690E-006,1507.155000,6.5960E-007,1507.155000,2.9850E-007,1507.155000,4.0870E-007,1507.155000,4.7570E-007,1507.155000,5.1140E-007,1507.155000,4.2680E-007,1507.155000,1.7350E-007,1507.155000,1.9150E-007
1507.170000,1.4710E-006,1507.170000,1.2860E-006,1507.170000,5.9700E-007,1507.170000,1.2500E-006,1507.170000,9.7670E-007,1507.170000,1.3000E-007,1507.170000,4.9520E-007,1507.170000,2.3860E-007,1507.170000,5.4510E-007,1507.170000,6.1520E-008
1507.185000,1.9380E-006,1507.185000,2.0810E-006,1507.185000,8.3330E-007,1507.185000,4.1000E-007,1507.185000,4.8920E-007,1507.185000,1.9050E-007,1507.185000,8.2870E-008,1507.185000,1.0140E-008,1507.185000,-1.7500E-007,1507.185000,3.6810E-007
1507.200000,1.8010E-006,1507.200000,1.6440E-006,1507.200000,6.1040E-007,1507.200000,5.9550E-007,1507.200000,8.6850E-007,1507.200000,5.6900E-007,1507.200000,4.1680E-007,1507.200000,-4.0170E-008,1507.200000,1.1770E-007,1507.200000,2.6820E-007
1507.215000,1.9270E-006,1507.215000,1.6660E-006,1507.215000,1.0420E-006,1507.215000,6.1600E-007,1507.215000,3.3720E-007,1507.215000,3.1420E-007,1507.215000,4.1600E-007,1507.215000,5.8950E-007,1507.215000,4.4270E-007,1507.215000,6.6600E-008
1507.230000,1.4090E-006,1507.230000,2.0890E-006,1507.230000,1.0640E-006,1507.230000,1.0110E-006,1507.230000,1.1010E-006,1507.230000,2.1930E-007,1507.230000,4.4300E-007,1507.230000,6.1940E-008,1507.230000,2.1180E-007,1507.230000,1.9190E-007
1507.245000,1.7900E-006,1507.245000,1.4370E-006,1507.245000,5.8720E-007,1507.245000,4.2010E-007,1507.245000,-4.4400E-008,1507.245000,6.5270E-007,1507.245000,2.4250E-007,1507.245000,4.5210E-007,1507.245000,-2.6200E-008,1507.245000,-2.2900E-007
1507.260000,1.8410E-006,1507.260000,2.0750E-006,1507.260000,8.5030E-007,1507.260000,9.6410E-007,1507.260000,1.0740E-006,1507.260000,5.7210E-007,1507.260000,3.5510E-008,1507.260000,-2.0910E-007,1507.260000,3.8160E-007,1507.260000,1.7690E-007
1507.275000,1.7910E-006,1507.275000,1.4900E-006,1507.275000,8.5110E-007,1507.275000,9.8320E-007,1507.275000,5.7980E-007,1507.275000,-1.2720E-007,1507.275000,2.3050E-007,1507.275000,7.3130E-007,1507.275000,2.0020E-007,1507.275000,3.9440E-007
1507.290000,1.9250E-006,1507.290000,1.5680E-006,1507.290000,1.1080E-006,1507.290000,8.2020E-007,1507.290000,6.4300E-007,1507.290000,5.4680E-007,1507.290000,5.4540E-008,1507.290000,7.9910E-008,1507.290000,4.2660E-007,1507.290000,-1.5220E-007
1507.305000,1.9450E-006,1507.305000,1.7970E-006,1507.305000,6.6480E-007,1507.305000,6.9670E-007,1507.305000,6.2060E-007,1507.305000,1.0710E-007,1507.305000,6.0190E-007,1507.305000,4.9190E-007,1507.305000,-3.2330E-008,1507.305000,1.3170E-007
1507.320000,1.8880E-006,1507.320000,1.4360E-006,1507.320000,9.4860E-007,1507.320000,3.8510E-007,1507.320000,9.1790E-007,1507.320000,6.0490E-007,1507.320000,-1.2470E-008,1507.320000,1.7990E-007,1507.320000,1.0120E-007,1507.320000,3.5320E-007
1507.335000,2.3710E-006,1507.335000,1.6480E-006,1507.335000,9.1680E-007,1507.335000,7.4290E-007,1507.335000,1.7990E-007,1507.335000,5.4350E-007,1507.335000,1.0040E-007,1507.335000,2.8230E-007,1507.335000,1.5410E-007,1507.335000,-1.5370E-007
1507.350000,1.6140E-006,1507.350000,1.9110E-006,1507.350000,9.0150E-007,1507.350000,1.0900E-006,1507.350000,1.0900E-006,1507.350000,1.8470E-007,1507.350000,3.4300E-007,1507.350000,2.0730E-007,1507.350000,6.8740E-007,1507.350000,1.2110E-007
1507.365000,1.9880E-006,1507.365000,1.9850E-006,1507.365000,4.4110E-007,1507.365000,4.7300E-007,1507.365000,6.7240E-007,1507.365000,1.1840E-007,1507.365000,3.0940E-007,1507.365000,3.9380E-007,1507.365000,2.8040E-007,1507.365000,-1.9890E-007
1507.380000,1.8080E-006,1507.380000,1.1590E-006,1507.380000,8.4950E-007,1507.380000,8.9800E-007,1507.380000,8.5960E-007,1507.380000,5.3660E-007,1507.380000,5.2210E-008,1507.380000,1.9510E-007,1507.380000,-3.3870E-007,1507.380000,5.2500E-007
1507.395000,1.7840E-006,1507.395000,1.9830E-006,1507.395000,4.9790E-007,1507.395000,1.2300E-006,1507.395000,2.8980E-007,1507.395000,3.6310E-007,1507.395000,5.0820E-007,1507.395000,2.0270E-007,1507.395000,3.0650E-007,1507.395000,2.2420E-007
1507.410000,2.1550E-006,1507.410000,1.9200E-006,1507.410000,7.2360E-007,1507.410000,7.1760E-007,1507.410000,1.0080E-006,1507.410000,4.8570E-007,1507.410000,4.0070E-007,1507.410000,4.0270E-007,1507.410000,3.2060E-007,1507.410000,1.6910E-008
1507.425000,1.9790E-006,1507.425000,2.0990E-006,1507.425000,6.1940E-007,1507.425000,8.4220E-007,1507.425000,3.7430E-007,1507.425000,5.8140E-007,1507.425000,2.3630E-007,1507.425000,-2.9000E-007,1507.425000,-9.4920E-008,1507.425000,2.2610E-007
1507.440000,1.5380E-006,1507.440000,1.5960E-006,1507.440000,1.1010E-006,1507.440000,1.0100E-006,1507.440000,7.5410E-007,1507.440000,4.3150E-007,1507.440000,1.3270E-007,1507.440000,7.5330E-007,1507.440000,2.5620E-007,1507.440000,3.0120E-007
1507.455000,1.7060E-006,1507.455000,1.4690E-006,1507.455000,3.4800E-007,1507.455000,1.0740E-006,1507.455000,8.0390E-007,1507.455000,-7.1450E-008,1507.455000,5.7270E-007,1507.455000,-5.6650E-008,1507.455000,3.1610E-007,1507.455000,2.6630E-007
1507.470000,2.0570E-006,1507.470000,1.7000E-006,1507.470000,1.0230E-006,1507.470000,4.7050E-007,1507.470000,7.5410E-007,1507.470000,6.6310E-007,1507.470000,2.6090E-007,1507.470000,8.2870E-008,1507.470000,-1.1200E-008,1507.470000,-1.4350E-007
1507.485000,2.1910E-006,1507.485000,1.9460E-006,1507.485000,6.8070E-007,1507.485000,8.5130E-007,1507.485000,3.7310E-007,1507.485000,1.3320E-007,1507.485000,3.9980E-007,1507.485000,1.9320E-007,1507.485000,8.1070E-007,1507.485000,7.7260E-007
1507.500000,1.5610E-006,1507.500000,1.8200E-006,1507.500000,8.4010E-007,1507.500000,6.1110E-007,1507.500000,7.8960E-007,1507.500000,4.1120E-007,1507.500000,2.6380E-007,1507.500000,2.4000E-007,1507.500000,1.6380E-007,1507.500000,-9.1120E-008
1507.515000,1.9560E-006,1507.515000,1.4780E-006,1507.515000,5.7870E-007,1507.515000,7.1040E-007,1507.515000,5.5010E-007,1507.515000,8.2870E-008,1507.515000,4.1350E-007,1507.515000,-1.2660E-007,1507.515000,1.0290E-007,1507.515000,1.1050E-007
1507.530000,2.1490E-006,1507.530000,1.4990E-006,1507.530000,6.8200E-007,1507.530000,7.9470E-007,1507.530000,6.1020E-007,1507.530000,6.5920E-007,1507.530000,1.7990E-007,1507.530000,3.3760E-007,1507.530000,3.2690E-007,1507.530000,1.7820E-007
1507.545000,2.1840E-006,1507.545000,1.9250E-006,1507.545000,1.0100E-006,1507.545000,8.7480E-007,1507.545000,5.9590E-007,1507.545000,1.4770E-007,1507.545000,4.7590E-007,1507.545000,2.9290E-007,1507.545000,-2.3030E-008,1507.545000,-7.4420E-008
1507.560000,1.8130E-006,1507.560000,1.4070E-006,1507.560000,8.9650E-007,1507.560000,4.9910E-007,1507.560000,6.1310E-007,1507.560000,2.9660E-007,1507.560000,-3.3390E-008,1507.560000,4.4880E-007,1507.560000,2.0730E-007,1507.560000,-2.2160E-007
1507.575000,1.6030E-006,1507.575000,1.4580E-006,1507.575000,9.9460E-007,1507.575000,8.4300E-007,1507.575000,7.0310E-007,1507.575000,4.3070E-007,1507.575000,5.4540E-007,1507.575000,6.7660E-008,1507.575000,-1.3630E-007,1507.575000,1.6280E-007
1507.590000,1.8690E-006,1507.590000,1.6490E-006,1507.590000,5.6030E-007,1507.590000,1.0800E-006,1507.590000,4.8320E-007,1507.590000,-1.2760E-007,1507.590000,1.9640E-007,1507.590000,4.1680E-007,1507.590000,7.1220E-007,1507.590000,2.4730E-007
1507.605000,1.9910E-006,1507.605000,1.7060E-006,1507.605000,9.7120E-007,1507.605000,4.5460E-007,1507.605000,7.5160E-007,1507.605000,6.6680E-007,1507.605000,4.4070E-007,1507.605000,2.7550E-007,1507.605000,1.1560E-007,1507.605000,-1.5600E-007
1507.620000,1.7780E-006,1507.620000,1.4860E-006,1507.620000,4.4210E-007,1507.620000,1.0360E-006,1507.620000,7.4870E-007,1507.620000,2.9290E-007,1507.620000,5.5390E-007,1507.620000,9.2800E-008,1507.620000,-3.0220E-008,1507.620000,3.2040E-007
1507.635000,1.9070E-006,1507.635000,1.8830E-006,1507.635000,8.7020E-007,1507.635000,7.6300E-007,1507.635000,5.8930E-007,1507.635000,6.0320E-007,1507.635000,4.1080E-007,1507.635000,6.4530E-007,1507.635000,6.2640E-007,1507.635000,5.9610E-008
1507.650000,1.3980E-006,1507.650000,1.2230E-006,1507.650000,9.0750E-007,1507.650000,7.7480E-007,1507.650000,2.8480E-007,1507.650000,5.0310E-007,1507.650000,-7.7380E-008,1507.650000,-1.1770E-007,1507.650000,3.8680E-008,1507.650000,3.7000E-008
1507.665000,1.8160E-006,1507.665000,1.7220E-006,1507.665000,4.1770E-007,1507.665000,7.1510E-007,1507.665000,1.0800E-006,1507.665000,6.6810E-007,1507.665000,1.3700E-007,1507.665000,-6.4690E-008,1507.665000,4.1890E-007,1507.665000,7.0520E-007
1507.680000,1.5180E-006,1507.680000,1.7620E-006,1507.680000,6.0800E-007,1507.680000,8.2020E-007,1507.680000,6.0010E-007,1507.680000,5.3500E-007,1507.680000,5.5390E-007,1507.680000,6.5190E-007,1507.680000,5.0390E-007,1507.680000,-2.8980E-007
1507.695000,1.6710E-006,1507.695000,1.7110E-006,1507.695000,1.2120E-006,1507.695000,8.6810E-007,1507.695000,7.3030E-007,1507.695000,-2.3030E-008,1507.695000,1.4310E-007,1507.695000,1.2720E-007,1507.695000,4.0380E-008,1507.695000,5.8270E-007
1507.710000,2.0060E-006,1507.710000,1.7990E-006,1507.710000,6.5650E-007,1507.710000,7.5180E-007,1507.710000,3.8280E-007,1507.710000,9.5310E-007,1507.710000,4.1000E-007,1507.710000,1.8830E-007,1507.710000,1.2280E-007,1507.710000,-2.9160E-008
1507.725000,1.8200E-006,1507.725000,1.6520E-006,1507.725000,4.6140E-007,1507.725000,8.9070E-007,1507.725000,1.0370E-006,1507.725000,1.8600E-007,1507.725000,4.6330E-007,1507.725000,-9.5560E-008,1507.725000,3.5710E-008,1507.725000,1.7880E-007
1507.740000,1.8800E-006,1507.740000,1.7400E-006,1507.740000,7.4080E-007,1507.740000,8.2810E-007,1507.740000,2.0100E-007,1507.740000,9.8210E-007,1507.740000,4.8770E-007,1507.740000,4.4940E-007,1507.740000,3.4300E-007,1507.740000,5.1610E-007
1507.755000,1.9400E-006,1507.755000,1.3700E-006,1507.755000,8.9220E-007,1507.755000,8.0450E-007,1507.755000,1.2160E-006,1507.755000,-6.4690E-008,1507.755000,4.5750E-007,1507.755000,3.4470E-007,1507.755000,3.1380E-007,1507.755000,1.2190E-007
1507.770000,1.7070E-006,1507.770000,1.7180E-006,1507.770000,1.0650E-006,1507.770000,6.1460E-007,1507.770000,7.4420E-007,1507.770000,-1.6060E-008,1507.770000,2.9000E-007,1507.770000,4.4690E-007,1507.770000,-1.8620E-007,1507.770000,2.9720E-007
1507.785000,1.9790E-006,1507.785000,1.3170E-006,1507.785000,3.5050E-007,1507.785000,4.9580E-007,1507.785000,4.0540E-007,1507.785000,7.6470E-007,1507.785000,4.8880E-007,1507.785000,7.1660E-008,1507.785000,1.1390E-007,1507.785000,2.8830E-007
1507.800000,1.9310E-006,1507.800000,1.5210E-006,1507.800000,1.1200E-006,1507.800000,1.0990E-006,1507.800000,8.8140E-007,1507.800000,4.8590E-007,1507.800000,4.9540E-007,1507.800000,2.5140E-007,1507.800000,4.6290E-007,1507.800000,-1.5540E-007
1507.815000,1.8560E-006,1507.815000,1.5250E-006,1507.815000,4.8380E-007,1507.815000,5.2260E-007,1507.815000,6.5580E-007,1507.815000,2.5510E-007,1507.815000,5.3250E-007,1507.815000,6.4880E-007,1507.815000,1.8790E-007,1507.815000,4.4710E-007
1507.830000,1.7630E-006,1507.830000,1.7070E-006,1507.830000,1.2250E-006,1507.830000,6.7020E-007,1507.830000,6.4130E-007,1507.830000,2.8950E-007,1507.830000,2.7300E-007,1507.830000,3.5960E-007,1507.830000,1.7140E-007,1507.830000,-7.7590E-008
1507.845000,2.0570E-006,1507.845000,1.5720E-006,1507.845000,5.4670E-007,1507.845000,8.1850E-007,1507.845000,3.4400E-007,1507.845000,5.1330E-007,1507.845000,7.3350E-007,1507.845000,2.2240E-007,1507.845000,1.0660E-007,1507.845000,-1.1110E-007
1507.860000,1.7390E-006,1507.860000,1.8090E-006,1507.860000,6.0340E-007,1507.860000,7.7330E-007,1507.860000,9.7170E-007,1507.860000,4.2550E-007,1507.860000,4.4210E-007,1507.860000,1.1420E-008,1507.860000,-5.8410E-008,1507.860000,1.2590E-007
1507.875000,1.7940E-006,1507.875000,1.3490E-006,1507.875000,9.0010E-007,1507.875000,7.6310E-007,1507.875000,4.2410E-007,1507.875000,5.7640E-007,1507.875000,4.3220E-007,1507.875000,3.5660E-007,1507.875000,1.7640E-007,1507.875000,5.0420E-007
1507.890000,1.9580E-006,1507.890000,1.9930E-006,1507.890000,3.1200E-007,1507.890000,1.0440E-006,1507.890000,5.9510E-007,1507.890000,2.8340E-007,1507.890000,1.3900E-007,1507.890000,1.4510E-007,1507.890000,2.6800E-007,1507.890000,8.3370E-008
1507.905000,1.4990E-006,1507.905000,1.1750E-006,1507.905000,7.8680E-007,1507.905000,4.8470E-007,1507.905000,5.3280E-007,1507.905000,7.2740E-007,1507.905000,5.6680E-007,1507.905000,3.8180E-007,1507.905000,1.0150E-007,1507.905000,2.1950E-007
1507.920000,1.8860E-006,1507.920000,1.4350E-006,1507.920000,5.5170E-007,1507.920000,8.3350E-007,1507.920000,7.9010E-007,1507.920000,4.5940E-007,1507.920000,4.4070E-007,1507.920000,4.4010E-008,1507.920000,8.4220E-008,1507.920000,2.9460E-007
1507.935000,2.1120E-006,1507.935000,2.0200E-006,1507.935000,7.0420E-007,1507.935000,7.5210E-007,1507.935000,7.3040E-007,1507.935000,7.6230E-007,1507.935000,4.4710E-007,1507.935000,6.5210E-007,1507.935000,9.2270E-008,1507.935000,-1.1870E-007
1507.950000,1.8230E-006,1507.950000,1.8780E-006,1507.950000,7.3930E-007,1507.950000,7.9610E-007,1507.950000,3.7720E-007,1507.950000,8.9510E-008,1507.950000,2.9580E-007,1507.950000,3.8920E-008,1507.950000,2.1430E-007,1507.950000,3.1310E-007
1507.965000,1.6600E-006,1507.965000,1.7740E-006,1507.965000,8.8760E-007,1507.965000,7.8140E-007,1507.965000,1.0920E-006,1507.965000,4.1350E-007,1507.965000,6.6230E-007,1507.965000,-2.2110E-007,1507.965000,5.1330E-007,1507.965000,-1.6380E-007
1507.980000,1.9700E-006,1507.980000,1.6760E-006,1507.980000,9.0280E-007,1507.980000,3.9750E-007,1507.980000,4.8940E-007,1507.980000,2.9440E-007,1507.980000,4.1640E-007,1507.980000,3.8740E-007,1507.980000,3.7240E-008,1507.980000,5.7560E-008
1507.995000,1.9610E-006,1507.995000,1.4920E-006,1507.995000,6.6480E-007,1507.995000,9.8430E-007,1507.995000,8.4030E-007,1507.995000,2.9000E-007,1507.995000,3.4650E-007,1507.995000,5.7450E-007,1507.995000,2.2700E-007,1507.995000,2.2470E-007
1508.010000,1.5940E-006,1508.010000,1.4270E-006,1508.010000,8.6090E-007,1508.010000,1.0980E-006,1508.010000,6.0610E-007,1508.010000,4.1470E-007,1508.010000,4.3320E-007,1508.010000,2.8880E-007,1508.010000,-5.6080E-008,1508.010000,-5.7560E-008
1508.025000,1.6370E-006,1508.025000,1.8970E-006,1508.025000,1.0590E-006,1508.025000,3.9420E-007,1508.025000,6.4090E-007,1508.025000,5.1620E-007,1508.025000,2.9130E-007,1508.025000,-1.2910E-008,1508.025000,3.2760E-007,1508.025000,2.0990E-007
1508.040000,1.7610E-006,1508.040000,1.2890E-006,1508.040000,5.8820E-007,1508.040000,6.0460E-007,1508.040000,7.6790E-007,1508.040000,2.7200E-007,1508.040000,4.4860E-007,1508.040000,2.9400E-007,1508.040000,6.7930E-008,1508.040000,1.4850E-007
